Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
78,"G Sebastián, JA Gallud, R Tesoriero","Code generation using model driven architecture: A systematic mapping study",2020,"Journal of Computer Languages","Elsevier","https://www.sciencedirect.com/science/article/pii/S2590118419300607","https://scholar.google.com/scholar?cites=3408647919417664170&as_sdt=2005&sciodt=2007&hl=en",1,"2025-06-12 13:45:48","","","","",,,,,78,15.60,26,3,5,"… code generation using model driven architectures. This study investigates the scientific evidence of model driven … that specifically deal with code generation using MDA, most of them …","","https://scholar.google.com/scholar?q=related:qqJDETnzTS8J:scholar.google.com/&scioq=%22model+driven%22+code+generation&hl=en&as_sdt=2007"
80,"A Mehmood, DNA Jawawi","Aspect-oriented model-driven code generation: A systematic mapping study",2013,"Information and Software Technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0950584912001863","https://scholar.google.com/scholar?cites=9651885939326810100&as_sdt=2005&sciodt=2007&hl=en",2,"2025-06-12 13:45:48","","","","",,,,,80,6.67,40,2,12,"… In this section we provide a brief background to aspect-oriented model-driven code generation presenting the core ideas and motivation behind it, and some works related to it. We also …","https://romisatriawahono.net/lecture/rm/survey/software%20engineering/Software%20Construction/Mehmood%20-%20Aspect-Oriented%20Model-Driven%20Code%20Generation%20-%202013.pdf","https://scholar.google.com/scholar?q=related:9Hcpuh9j8oUJ:scholar.google.com/&scioq=%22model+driven%22+code+generation&hl=en&as_sdt=2007"
13,"D Gurunule, M Nashipudimath","A review: analysis of aspect orientation and model driven engineering for code generation",2015,"Procedia Computer Science","Elsevier","https://www.sciencedirect.com/science/article/pii/S1877050915004147","https://scholar.google.com/scholar?cites=15343165632015907498&as_sdt=2005&sciodt=2007&hl=en",3,"2025-06-12 13:45:48","","","","",,,,,13,1.30,7,2,10,"… aspect orientation and its use for code generation in section 3. Section 4 provides details about Model driven engineering (MDE) and its application to code generation. In section 5 we …","https://www.sciencedirect.com/science/article/pii/S1877050915004147/pdf?md5=f8ceb402eab9189fcce0d4e1e4a51e09&pid=1-s2.0-S1877050915004147-main.pdf&_valck=1","https://scholar.google.com/scholar?q=related:qjpKytnf7dQJ:scholar.google.com/&scioq=%22model+driven%22+code+generation&hl=en&as_sdt=2007"
68,"MJ Rutherford, AL Wolf","A case for test-code generation in model-driven systems",2003,"International Conference on Generative …","Springer","https://link.springer.com/chapter/10.1007/978-3-540-39815-8_23","https://scholar.google.com/scholar?cites=7914913646217941484&as_sdt=2005&sciodt=2007&hl=en",4,"2025-06-12 13:45:48","","10.1007/978-3-540-39815-8_23","","",,,,,68,3.09,34,2,22,"… for producing test code are simpler than those used for application code. Given … -code development, we argue that test-code generation should be a fundamental feature of model-driven …","http://www.doc.ic.ac.uk/~alw/doc/papers/gpce03.pdf","https://scholar.google.com/scholar?q=related:7FG2tgZs120J:scholar.google.com/&scioq=%22model+driven%22+code+generation&hl=en&as_sdt=2007"
11,"JA Barriga, PJ Clemente, MA Pérez-Toledano…","Design, code generation and simulation of IoT environments with mobility devices by using model-driven development: SimulateIoT-Mobile",2023,"Pervasive and Mobile …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1574119223000093","https://scholar.google.com/scholar?cites=8436870111148678957&as_sdt=2005&sciodt=2007&hl=en",5,"2025-06-12 13:45:48","HTML","","","",,,,,11,5.50,3,4,2,"… In this regard, Model-driven development approaches can help to both reduce the IoT … on SimulateIoT is proposed for the design, code generation and simulation of IoT systems with …","https://www.sciencedirect.com/science/article/pii/S1574119223000093","https://scholar.google.com/scholar?q=related:LZ8gZ6rIFXUJ:scholar.google.com/&scioq=%22model+driven%22+code+generation&hl=en&as_sdt=2007"
13,"MK Shiferaw, AK Jena","Code generator for model-driven software development using UML models",2018,"2018 Second International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8474690/","https://scholar.google.com/scholar?cites=8023133281593300734&as_sdt=2005&sciodt=2007&hl=en",6,"2025-06-12 13:45:48","","","","",,,,,13,1.86,7,2,7,"… code and the modification of some codes by the developer and an experimental result of model driven code generator … After executing Java code we can obtain an experimental result …","","https://scholar.google.com/scholar?q=related:_pb7EjblV28J:scholar.google.com/&scioq=%22model+driven%22+code+generation&hl=en&as_sdt=2007"
4,"M Bhadra, DS Lopera, R Kunzelmann…","A model-driven architecture approach to accelerate software code generation",2024,"2024 7th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10608368/","https://scholar.google.com/scholar?cites=2163050946079133873&as_sdt=2005&sciodt=2007&hl=en",7,"2025-06-12 13:45:48","","","","",,,,,4,4.00,1,4,1,"… of multiple code variants, leading to code duplication, and … code generator aligned with the ModelDriven Architecture (MDA) that leverages software models. The proposed generator …","","https://scholar.google.com/scholar?q=related:sZAeCGCzBB4J:scholar.google.com/&scioq=%22model+driven%22+code+generation&hl=en&as_sdt=2007"
12,"A Wąsowski","Code generation and model driven development for constrained embedded software",2005,"","academia.edu","https://www.academia.edu/download/51736524/Code_Generation_and_Model_Driven_Develop20170210-8777-1veiyoz.pdf","https://scholar.google.com/scholar?cites=10735156270489074442&as_sdt=2005&sciodt=2007&hl=en",8,"2025-06-12 13:45:48","PDF","","","",,,,,12,0.60,12,1,20,"… few results in code generation for such systems. We analyze code generation methods for … The resulting code generator improves over an industrial implementation provided by IAR A/…","https://www.academia.edu/download/51736524/Code_Generation_and_Model_Driven_Develop20170210-8777-1veiyoz.pdf","https://scholar.google.com/scholar?q=related:CvvOLsDv-pQJ:scholar.google.com/&scioq=%22model+driven%22+code+generation&hl=en&as_sdt=2007"
20,"M Nassar, A Anwar, S Ebersold, B Elasri…","Code generation in VUML profile: A model driven approach",2009,"2009 IEEE/ACS …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5069358/","https://scholar.google.com/scholar?cites=7894333001052900027&as_sdt=2005&sciodt=2007&hl=en",9,"2025-06-12 13:45:48","","","","",,,,,20,1.25,4,5,16,"… pattern to generate the object code … a model driven implementation of this pattern, which integrates the multi-user aspect and supports Java language. We propose a code generation …","","https://scholar.google.com/scholar?q=related:u8pm2glOjm0J:scholar.google.com/&scioq=%22model+driven%22+code+generation&hl=en&as_sdt=2007"
109,"M Völter","Best practices for DSLs and model-driven development",2009,"Journal of Object Technology","jot.fm","https://www.jot.fm/issues/issue_2009_09/column6.pdf","https://scholar.google.com/scholar?cites=4470114372359365893&as_sdt=2005&sciodt=2007&hl=en",10,"2025-06-12 13:45:48","PDF","","","",,,,,109,6.81,109,1,16,"… These languages can be textual or graphical, the models created with the language can be used as input for code generation, validation, simulation or interpretation. The DSLs can be …","https://www.jot.fm/issues/issue_2009_09/column6.pdf","https://scholar.google.com/scholar?q=related:BSXZhVYJCT4J:scholar.google.com/&scioq=%22model+driven%22+code+generation&hl=en&as_sdt=2007"
