Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
143,"MA Cyran","Blockchain as a foundation for sharing healthcare data",2018,"Blockchain in Healthcare Today","blockchainhealthcaretoday.com","https://www.blockchainhealthcaretoday.com/index.php/journal/article/view/13","https://scholar.google.com/scholar?cites=4117433908959124227&as_sdt=2005&sciodt=2007&hl=en",1,"2025-06-12 13:31:12","","","","",,,,,143,20.43,143,1,7,"… Our solution utilizes the Ethereum1 platform for smart contract functionality with Docker containers and distributed architecture using microservices. Security in our data sharing system …","https://www.blockchainhealthcaretoday.com/index.php/journal/article/download/13/17","https://scholar.google.com/scholar?q=related:AxuoOVMQJDkJ:scholar.google.com/&scioq=data+sharing+architecture+healthcare&hl=en&as_sdt=2007"
169,"T Hulsen","Sharing is caring—data sharing initiatives in healthcare",2020,"International journal of environmental research and …","pmc.ncbi.nlm.nih.gov","https://pmc.ncbi.nlm.nih.gov/articles/PMC7246891/","https://scholar.google.com/scholar?cites=722017166895341695&as_sdt=2005&sciodt=2007&hl=en",2,"2025-06-12 13:31:12","HTML","","","",,,,,169,33.80,169,1,5,"… the current literature around data sharing, and we discuss five aspects of data sharing in the … the current state of data sharing in healthcare. It shows that data sharing is widely supported …","https://pmc.ncbi.nlm.nih.gov/articles/PMC7246891/","https://scholar.google.com/scholar?q=related:f-CHsskeBQoJ:scholar.google.com/&scioq=data+sharing+architecture+healthcare&hl=en&as_sdt=2007"
307,"B Fabian, T Ermakova, P Junghanns","Collaborative and secure sharing of healthcare data in multi-clouds",2015,"Information Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S030643791400088X","https://scholar.google.com/scholar?cites=7032506324125578199&as_sdt=2005&sciodt=2007&hl=en",3,"2025-06-12 13:31:12","","","","",,,,,307,30.70,102,3,10,"… wide adoption of cloud computing in the healthcare domain. In this paper, we presented a novel architecture for inter-organizational data sharing and its implementation, which provides …","https://www.academia.edu/download/51770512/Collaborative_and_Secure_Sharing_of_Heal20170212-8003-1dcq74w.pdf","https://scholar.google.com/scholar?q=related:13Mx8j17mGEJ:scholar.google.com/&scioq=data+sharing+architecture+healthcare&hl=en&as_sdt=2007"
154,"MM Hassan, K Lin, X Yue, J Wan","A multimedia healthcare data sharing approach through cloud-based body area network",2017,"Future Generation Computer Systems","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X15004070","https://scholar.google.com/scholar?cites=13191176202264029559&as_sdt=2005&sciodt=2007&hl=en",4,"2025-06-12 13:31:12","","","","",,,,,154,19.25,39,4,8,"… this platform to deliver and share the huge media healthcare data to remote terminals timely … and Cloud for valid data sharing. The proposed network architecture is designed as four …","","https://scholar.google.com/scholar?q=related:d6mIud14ELcJ:scholar.google.com/&scioq=data+sharing+architecture+healthcare&hl=en&as_sdt=2007"
36,"JR Popovic","Distributed data networks: a blueprint for Big Data sharing and healthcare analytics",2017,"Annals of the New York Academy of Sciences","Wiley Online Library","https://nyaspubs.onlinelibrary.wiley.com/doi/abs/10.1111/nyas.13287","https://scholar.google.com/scholar?cites=3617378609575177772&as_sdt=2005&sciodt=2007&hl=en",5,"2025-06-12 13:31:12","","10.1111/nyas.13287","","",,,,,36,4.50,36,1,8,"… in healthcare data sharing and are evolving and maturing at a critical time when Big Data and … This paper describes the architecture of the Sentinel System, the unique characteristics of …","","https://scholar.google.com/scholar?q=related:LC7TAa6CMzIJ:scholar.google.com/&scioq=data+sharing+architecture+healthcare&hl=en&as_sdt=2007"
258,"H Qiu, M Qiu, M Liu, G Memmi","Secure health data sharing for medical cyber-physical systems for the healthcare 4.0",2020,"IEEE journal of biomedical and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8995537/","https://scholar.google.com/scholar?cites=9458560709197380754&as_sdt=2005&sciodt=2007&hl=en",6,"2025-06-12 13:31:12","","","","",,,,,258,51.60,65,4,5,"… EHR data sharing methods are not enough for EHR data protection and sharing. The EHR … The system architecture is given to illustrate the idea that protecting data by fragmentation to …","","https://scholar.google.com/scholar?q=related:kjwt9tmOQ4MJ:scholar.google.com/&scioq=data+sharing+architecture+healthcare&hl=en&as_sdt=2007"
13,"LB Elvas, JC Ferreira, MS Dias, LB Rosário","Health data sharing towards knowledge creation",2023,"Systems","mdpi.com","https://www.mdpi.com/2079-8954/11/8/435","https://scholar.google.com/scholar?cites=11252864439592424095&as_sdt=2005&sciodt=2007&hl=en",7,"2025-06-12 13:31:12","HTML","","","",,,,,13,6.50,3,4,2,"… data sharing and AI applications in healthcare, setting a new standard for secure and ethical … Figure 3 shows the logic architecture of the ISI, composed of a “DSA Usage Control System …","https://www.mdpi.com/2079-8954/11/8/435","https://scholar.google.com/scholar?q=related:nxKIa5Y0KpwJ:scholar.google.com/&scioq=data+sharing+architecture+healthcare&hl=en&as_sdt=2007"
474,"B Shen, J Guo, Y Yang","MedChain: Efficient healthcare data sharing via blockchain",2019,"Applied sciences","mdpi.com","https://www.mdpi.com/2076-3417/9/6/1207","https://scholar.google.com/scholar?cites=3734836467492689694&as_sdt=2005&sciodt=2007&hl=en",8,"2025-06-12 13:31:12","HTML","","","",,,,,474,79.00,158,3,6,"… Third, based on the proposed architecture, a session is introduced in the data sharing … system are validated, which is crucial in healthcare data sharing. Thus, compared with state-…","https://www.mdpi.com/2076-3417/9/6/1207","https://scholar.google.com/scholar?q=related:HpcTq_rN1DMJ:scholar.google.com/&scioq=data+sharing+architecture+healthcare&hl=en&as_sdt=2007"
39,"DC Nguyen, PN Pathirana, M Ding…","A cooperative architecture of data offloading and sharing for smart healthcare with blockchain",2021,"… on Blockchain and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9461063/","https://scholar.google.com/scholar?cites=7398704507808099097&as_sdt=2005&sciodt=2007&hl=en",9,"2025-06-12 13:31:12","","","","",,,,,39,9.75,10,4,4,"… (QoS), data privacy and system security due to centralized healthcare architectures. In this … novel hybrid approach of data offloading and data sharing for healthcare using edge cloud …","https://arxiv.org/pdf/2103.10186","https://scholar.google.com/scholar?q=related:Gav7wYx6rWYJ:scholar.google.com/&scioq=data+sharing+architecture+healthcare&hl=en&as_sdt=2007"
309,"H Jin, Y Luo, P Li, J Mathew","A review of secure and privacy-preserving medical data sharing",2019,"IEEE access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8713993/","https://scholar.google.com/scholar?cites=1686763898138425678&as_sdt=2005&sciodt=2007&hl=en",10,"2025-06-12 13:31:12","","","","",,,,,309,51.50,77,4,6,"… It is a widely adopted architecture for today’s healthcare data management. Hence, a more … Section III describes the schemes on healthcare data sharing based on cloud computing, …","https://ieeexplore.ieee.org/iel7/6287639/8600701/08713993.pdf","https://scholar.google.com/scholar?q=related:Tnl-GNSWaBcJ:scholar.google.com/&scioq=data+sharing+architecture+healthcare&hl=en&as_sdt=2007"
