Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
22,"JA Kassem, C De Laat, A Taal, P Grosso","The epi framework: A dynamic data sharing framework for healthcare use cases",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9211394/","https://scholar.google.com/scholar?cites=11004000263977236728&as_sdt=2005&sciodt=2007&hl=en",1,"2025-06-12 13:07:09","","","","",,,,,22,4.40,6,4,5,"… We explain the approach by introducing the framework’s data sharing logic … data movements between and possibly satisfy a data collaboration request. We reinforce the framework’s …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09211394.pdf","https://scholar.google.com/scholar?q=related:-PiqOvAPtpgJ:scholar.google.com/&scioq=data+sharing+framework%7Carchitecture+healthcare&hl=en&as_sdt=2007"
30,"H Hund, R Wettstein, CM Heidt…","Executing distributed healthcare and research processes–the HiGHmed data sharing framework",2021,"German Medical Data …","ebooks.iospress.nl","https://ebooks.iospress.nl/doi/10.3233/SHTI210060","https://scholar.google.com/scholar?cites=6066177514560889809&as_sdt=2005&sciodt=2007&hl=en",2,"2025-06-12 13:07:09","","10.3233/SHTI210060","","",,,,,30,7.50,8,4,4,"… form an important base for data exchange in the research context … With this paper, we propose a framework for implementing … HL7 Fast Healthcare Interoperability Resources (FHIR R4). …","https://ebooks.iospress.nl/pdf/doi/10.3233/SHTI210060","https://scholar.google.com/scholar?q=related:0SPdO09kL1QJ:scholar.google.com/&scioq=data+sharing+framework%7Carchitecture+healthcare&hl=en&as_sdt=2007"
27,"L Chen, JJ Yang, Q Wang, Y Niu","A framework for privacy-preserving healthcare data sharing",2012,"2012 IEEE 14th international …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6379433/","https://scholar.google.com/scholar?cites=18082698786294843426&as_sdt=2005&sciodt=2007&hl=en",3,"2025-06-12 13:07:09","","","","",,,,,27,2.08,7,4,13,"… framework for privacy preserving health care data sharing. First, the typical framework for health care data sharing … new framework for privacy preserving health care data sharing based …","","https://scholar.google.com/scholar?q=related:Ish9ab2m8voJ:scholar.google.com/&scioq=data+sharing+framework%7Carchitecture+healthcare&hl=en&as_sdt=2007"
28,"AGM Alzahrani, A Alenezi, A Mershed, H Atlam, G Wills","A framework for data sharing between healthcare providers using blockchain",2020,"","eprints.soton.ac.uk","https://eprints.soton.ac.uk/441170","https://scholar.google.com/scholar?cites=14495802326907325760&as_sdt=2005&sciodt=2007&hl=en",4,"2025-06-12 13:07:09","","","","",,,,,28,5.60,6,5,5,"… a framework based on the blockchain technology to provide a secure environment for data sharing between healthcare … It starts by providing analysis of the healthcare industry with a …","https://eprints.soton.ac.uk/441170/1/Framework_for_Data_Sharing_between_Healthcare_Providers.pdf","https://scholar.google.com/scholar?q=related:QI2XDWpvK8kJ:scholar.google.com/&scioq=data+sharing+framework%7Carchitecture+healthcare&hl=en&as_sdt=2007"
28,"MZU Rahman, S Surekha, KP Satamraju…","A collateral sensor data sharing framework for decentralized healthcare systems",2021,"IEEE Sensors …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9600839/","https://scholar.google.com/scholar?cites=3882690558270986481&as_sdt=2005&sciodt=2007&hl=en",5,"2025-06-12 13:07:09","","","","",,,,,28,7.00,7,4,4,"… healthcare as the privacy of the personal healthcare data is of paramount importance. In this paper, a blockchain based healthcare framework … secured data storage and sharing among …","","https://scholar.google.com/scholar?q=related:8ViByn0W4jUJ:scholar.google.com/&scioq=data+sharing+framework%7Carchitecture+healthcare&hl=en&as_sdt=2007"
43,"AR Lee, MG Kim, IK Kim","SHAREChain: Healthcare data sharing framework using Blockchain-registry and FHIR",2019,"2019 IEEE International Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8983415/","https://scholar.google.com/scholar?cites=7440079218419295709&as_sdt=2005&sciodt=2007&hl=en",6,"2025-06-12 13:07:09","","","","",,,,,43,7.17,14,3,6,"… To address the problems of reliability and interoperability, we propose a healthcare data-sharing framework, SHAREChain (Standardized Healthcare-data Access with Reliability and …","","https://scholar.google.com/scholar?q=related:3eWlQqF4QGcJ:scholar.google.com/&scioq=data+sharing+framework%7Carchitecture+healthcare&hl=en&as_sdt=2007"
27,"S Lovestone, EMIF Consortium","The European medical information framework: a novel ecosystem for sharing healthcare data across Europe",2020,"Learning health systems","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/lrh2.10214","https://scholar.google.com/scholar?cites=9457259869126841093&as_sdt=2005&sciodt=2007&hl=en",7,"2025-06-12 13:07:09","","10.1002/lrh2.10214","","",,,,,27,5.40,14,2,5,"… The European medical information framework (EMIF) was an Innovative Medicines Initiative … framework to identify, assess and (re)use healthcare data, to facilitate real-world data …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/lrh2.10214","https://scholar.google.com/scholar?q=related:BdPch77vPoMJ:scholar.google.com/&scioq=data+sharing+framework%7Carchitecture+healthcare&hl=en&as_sdt=2007"
112,"AN Gohar, SA Abdelmawgoud, MS Farhan","A patient-centric healthcare framework reference architecture for better semantic interoperability based on blockchain, cloud, and IoT",2022,"IEEE access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9869824/","https://scholar.google.com/scholar?cites=15804630200662396600&as_sdt=2005&sciodt=2007&hl=en",8,"2025-06-12 13:07:09","","","","",,,,,112,37.33,37,3,3,"… MANAGEMENT WITH BLOCKCHAIN 168 Blockchain has been proposed by the authors of this work as a 169 suitable infrastructure for sharing healthcare data. In addition, 170 the …","https://ieeexplore.ieee.org/iel7/6287639/9668973/09869824.pdf","https://scholar.google.com/scholar?q=related:uI7kVG5TVdsJ:scholar.google.com/&scioq=data+sharing+framework%7Carchitecture+healthcare&hl=en&as_sdt=2007"
40,"AG Alzahrani, A Alhomoud, G Wills","A framework of the critical factors for healthcare providers to share data securely using blockchain",2022,"Ieee Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9741768/","https://scholar.google.com/scholar?cites=7551255927382592899&as_sdt=2005&sciodt=2007&hl=en",9,"2025-06-12 13:07:09","","","","",,,,,40,13.33,13,3,3,"… data-sharing security. This research proposes a framework that identifies the factors supporting data-sharing using blockchain among healthcare organisations. It has three categories: …","https://ieeexplore.ieee.org/iel7/6287639/6514899/09741768.pdf","https://scholar.google.com/scholar?q=related:g82z90Fzy2gJ:scholar.google.com/&scioq=data+sharing+framework%7Carchitecture+healthcare&hl=en&as_sdt=2007"
168,"T Hulsen","Sharing is caring—data sharing initiatives in healthcare",2020,"International journal of environmental research and …","pmc.ncbi.nlm.nih.gov","https://pmc.ncbi.nlm.nih.gov/articles/PMC7246891/","https://scholar.google.com/scholar?cites=722017166895341695&as_sdt=2005&sciodt=2007&hl=en",10,"2025-06-12 13:07:09","HTML","","","",,,,,168,33.60,168,1,5,"… These challenges give thought to the design of an ethical governance framework for data sharing platforms. The conclusion of the case study was that current data sharing initiatives …","https://pmc.ncbi.nlm.nih.gov/articles/PMC7246891/","https://scholar.google.com/scholar?q=related:f-CHsskeBQoJ:scholar.google.com/&scioq=data+sharing+framework%7Carchitecture+healthcare&hl=en&as_sdt=2007"
