Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
7,"M Awad, L Khan, B Thuraisingham","Policy enforcement system for inter-organizational data sharing",2012,"Optimizing Information Security …","igi-global.com","https://www.igi-global.com/chapter/content/62723","https://scholar.google.com/scholar?cites=13986412391770510972&as_sdt=2005&sciodt=2007&hl=en",1,"2025-06-12 13:09:15","","","","",,,,,7,0.54,2,3,13,"… However, each organization abides by its policies and rules in order to release data. For each organization, we develop sharing policies that govern what kind of data an organization …","https://www.researchgate.net/profile/M-Awad-5/publication/220065821_Policy_Enforcement_System_for_Inter-Organizational_Data_Sharing/links/5fc7e5f7a6fdcc697bd3e792/Policy-Enforcement-System-for-Inter-Organizational-Data-Sharing.pdf","https://scholar.google.com/scholar?q=related:fFaalfe3GcIJ:scholar.google.com/&scioq=data+sharing+policy+enforcement&hl=en&as_sdt=2007"
34,"JS Hollywood, Z Winkelman","Improving Information-Sharing Across Law Enforcement: Why Can't We Know?",2015,"","ojp.gov","https://www.ojp.gov/pdffiles1/nij/grants/249187.pdf","https://scholar.google.com/scholar?cites=13206887044731796267&as_sdt=2005&sciodt=2007&hl=en",2,"2025-06-12 13:09:15","BOOK","","","",,,,,34,3.40,17,2,10,"… There is not yet a definitive set of datasharing standards with which an RMS/CAD provider should comply. That said, what does exist should be included in RFP language. In particular, …","https://www.ojp.gov/pdffiles1/nij/grants/249187.pdf","https://scholar.google.com/scholar?q=related:K3vySctJSLcJ:scholar.google.com/&scioq=data+sharing+policy+enforcement&hl=en&as_sdt=2007"
35,"D Plecas, AV McCormick, J Levine, P Neal…","Evidence‐based solution to information sharing between law enforcement agencies",2011,"… An International journal …","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/13639511111106641/full/html","https://scholar.google.com/scholar?cites=12537446417063273850&as_sdt=2005&sciodt=2007&hl=en",3,"2025-06-12 13:09:15","","10.1108/13639511111106641","","",,,,,35,2.50,7,5,14,"… The aim of this study is to test a technological solution to two traditional limitations of information sharing between law enforcement agencies: data quality and privacy concerns. …","","https://scholar.google.com/scholar?q=related:euWMDxf1_a0J:scholar.google.com/&scioq=data+sharing+policy+enforcement&hl=en&as_sdt=2007"
24,"MC Mont, V Sharma, S Pearson","EnCoRe: dynamic consent, policy enforcement and accountable information sharing within and across organisations",2012,"HP Laboratories Technical Report","academia.edu","https://www.academia.edu/download/11023933/hpl-2012-36.pdf","https://scholar.google.com/scholar?cites=16589523937537067012&as_sdt=2005&sciodt=2007&hl=en",4,"2025-06-12 13:09:15","PDF","","","",,,,,24,1.85,8,3,13,"… The Compliance Checking Component supports the organisation in their governance and risk management activities, related to data handling, data sharing and privacy management; …","https://www.academia.edu/download/11023933/hpl-2012-36.pdf","https://scholar.google.com/scholar?q=related:BIi8SSDUOeYJ:scholar.google.com/&scioq=data+sharing+policy+enforcement&hl=en&as_sdt=2007"
33,"KW Hamlen, L Kagal, M Kantarcioglu","Policy Enforcement Framework for Cloud Data Management.",2012,"IEEE Data Eng. Bull.","Citeseer","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=95167cd34eedb6a8565f87fb4389aaff6b38fbfd#page=41","https://scholar.google.com/scholar?cites=15871318582488658958&as_sdt=2005&sciodt=2007&hl=en",5,"2025-06-12 13:09:15","PDF","","","",,,,,33,2.54,11,3,13,"… -compliant cloud data management. We discussed different policy types applicable for cloud data management ranging from data sharing policies to traditional access control policies, …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=95167cd34eedb6a8565f87fb4389aaff6b38fbfd#page=41","https://scholar.google.com/scholar?q=related:DvRKMilAQtwJ:scholar.google.com/&scioq=data+sharing+policy+enforcement&hl=en&as_sdt=2007"
10,"M Le, K Kant, S Jajodia","Consistency and enforcement of access rules in cooperative data sharing environment",2014,"Computers &security","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167404813001284","https://scholar.google.com/scholar?cites=10036692567633039606&as_sdt=2005&sciodt=2007&hl=en",6,"2025-06-12 13:09:15","","","","",,,,,10,0.91,3,3,11,"… the data sharing, and such rules are defined over the join operations over the relational data. It … The involvement of specialized third parties for consistency and enforcement purposes is …","https://www.kkant.net/papers/COSE_paper.pdf","https://scholar.google.com/scholar?q=related:9hCSrbZ-SYsJ:scholar.google.com/&scioq=data+sharing+policy+enforcement&hl=en&as_sdt=2007"
8,"X Zhou, R Cushing, R Koning…","Policy enforcement for secure and trustworthy data sharing in multi-domain infrastructures",2020,"… on Big Data Science …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9343348/","https://scholar.google.com/scholar?cites=16179703700788233283&as_sdt=2005&sciodt=2007&hl=en",7,"2025-06-12 13:09:15","","","","",,,,,8,1.60,2,4,5,"… III) by which we realise the policy enforcement. Our use-case and the implementation of its data transmission auditing process is presented in Sec. IV. After defining the auditing process, …","https://dl4ld.nl/2021-02-10/ICT-Policy%20Enforcement%20for%20Secure%20and%20Trustworthy%20Data%20Sharing%20in%20Multi-domain%20Infrastructures.pdf","https://scholar.google.com/scholar?q=related:Q0SOyMraieAJ:scholar.google.com/&scioq=data+sharing+policy+enforcement&hl=en&as_sdt=2007"
9,"M Falkenthal, FW Baumann, G Grünert…","Requirements and enforcement points for policies in industrial data sharing scenarios",2017,"Proceedings of the …","iaas.uni-stuttgart.de","https://www.iaas.uni-stuttgart.de/publications/INPROC-2017-63-Requirements-and-Enforcement-Points-for-Policies-in-Industrial-Data-Sharing-Scenarios.pdf","https://scholar.google.com/scholar?cites=17036654942182025624&as_sdt=2005&sciodt=2007&hl=en",8,"2025-06-12 13:09:15","PDF","","","",,,,,9,1.13,2,4,8,"… and enforcing implementations was analysed within this work, which can be used as a coarse-grained overview to attach data policies to relevant data sources and plug-points in data …","https://www.iaas.uni-stuttgart.de/publications/INPROC-2017-63-Requirements-and-Enforcement-Points-for-Policies-in-Industrial-Data-Sharing-Scenarios.pdf","https://scholar.google.com/scholar?q=related:mKmp5WdbbuwJ:scholar.google.com/&scioq=data+sharing+policy+enforcement&hl=en&as_sdt=2007"
1,"D Pletea","Access Policy Enforcement Techniques to Protect Data Shared Across Domains",2014,"","pure.tue.nl","https://pure.tue.nl/ws/portalfiles/portal/46998716/784689-1.pdf","https://scholar.google.com/scholar?cites=12986811058409200231&as_sdt=2005&sciodt=2007&hl=en",9,"2025-06-12 13:09:15","PDF","","","",,,,,1,0.09,1,1,11,"… Data sharing across domains is nowadays becoming more popular and common. Such collaborations are able to open valuable new research opportunities, while lowering the costs of …","https://pure.tue.nl/ws/portalfiles/portal/46998716/784689-1.pdf","https://scholar.google.com/scholar?q=related:Z1qYvdlrOrQJ:scholar.google.com/&scioq=data+sharing+policy+enforcement&hl=en&as_sdt=2007"
18,"G Kent","Sharing investigation specific data with law enforcement-an international approach",2014,"","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2472413","https://scholar.google.com/scholar?cites=7681604719617326731&as_sdt=2005&sciodt=2007&hl=en",10,"2025-06-12 13:09:15","","","","",,,,,18,1.64,18,1,11,"… And we need to ensure that solutions to data sharing can command public support. The project is framed within the context of law enforcement working within a clear human rights …","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2472413","https://scholar.google.com/scholar?q=related:iz7BKcuKmmoJ:scholar.google.com/&scioq=data+sharing+policy+enforcement&hl=en&as_sdt=2007"
