Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"Y Li, CZ Wang, Y Li, J Su","Granularity decision of microservice splitting in view of maintainability and its innovation effect in government data sharing",2020,"Discrete Dynamics in Nature and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1155/2020/1057902","https://scholar.google.com/scholar?cites=7870342265586109352&as_sdt=2005&sciodt=2007&hl=en",1,"2025-06-12 13:34:22","","10.1155/2020/1057902","","",,,,,13,2.60,3,4,5,"… and integration from the national top-layer policy design level. Implementation Plan for the … of data sharing and service connection based on the distributed microservice architecture; the …","https://onlinelibrary.wiley.com/doi/pdf/10.1155/2020/1057902","https://scholar.google.com/scholar?q=related:qMsAeZcSOW0J:scholar.google.com/&scioq=data+sharing+policy+microservice&hl=en&as_sdt=2007"
45,"D Preuveneers, W Joosen","Access control with delegated authorization policy evaluation for data-driven microservice workflows",2017,"Future Internet","mdpi.com","https://www.mdpi.com/1999-5903/9/4/58","https://scholar.google.com/scholar?cites=16550308209910878759&as_sdt=2005&sciodt=2007&hl=en",2,"2025-06-12 13:34:22","HTML","","","",,,,,45,5.63,23,2,8,"… microservices can be leveraged to realize a policy-based access control architecture where the access policies are defined in terms of data-… authorization for data sharing between the …","https://www.mdpi.com/1999-5903/9/4/58","https://scholar.google.com/scholar?q=related:JxL4LqGBruUJ:scholar.google.com/&scioq=data+sharing+policy+microservice&hl=en&as_sdt=2007"
17,"A Rajasekar, R Moore, M Wan…","Applying rules as policies for large-scale data sharing",2010,"2010 International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5416072/","https://scholar.google.com/scholar?cites=17140759533473880658&as_sdt=2005&sciodt=2007&hl=en",3,"2025-06-12 13:34:22","","","","",,,,,17,1.13,4,4,15,"… In iRODS, policies are encoded as rules of the form: A :- C | … is a micro-service or a rule, and Ri is a recovery micro-service. … The back-tracking through “recovery” micro-service is unique …","https://www.academia.edu/download/68786175/isms.2010.6620210817-6266-1pf3af2.pdf","https://scholar.google.com/scholar?q=related:UtoZ5fo14O0J:scholar.google.com/&scioq=data+sharing+policy+microservice&hl=en&as_sdt=2007"
35,"Y Yang, Q Zu, P Liu, D Ouyang…","MicroShare: Privacy-preserved medical resource sharing through microservice architecture",2018,"International journal of …","pmc.ncbi.nlm.nih.gov","https://pmc.ncbi.nlm.nih.gov/articles/PMC6036760/","https://scholar.google.com/scholar?cites=14653396120666206144&as_sdt=2005&sciodt=2007&hl=en",4,"2025-06-12 13:34:22","HTML","","","",,,,,35,5.00,7,5,7,"… of medical resource sharing through MicroService architecture … MicroServices communicating by the unified techniques such as RESTFul web service. This lets us handle clinical data …","https://pmc.ncbi.nlm.nih.gov/articles/PMC6036760/","https://scholar.google.com/scholar?q=related:wG9lfSJSW8sJ:scholar.google.com/&scioq=data+sharing+policy+microservice&hl=en&as_sdt=2007"
116,"R Laigner, Y Zhou, MAV Salles, Y Liu…","Data management in microservices: State of the practice, challenges, and research directions",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2103.00170","https://scholar.google.com/scholar?cites=18101663116000553394&as_sdt=2005&sciodt=2007&hl=en",5,"2025-06-12 13:34:22","","","","",,,,,116,29.00,23,5,4,"… data management for microservices, we asked the survey participants to select the top 2 reasons to adopt a microservices architecture regarding data management. The 5 options given …","https://arxiv.org/pdf/2103.00170","https://scholar.google.com/scholar?q=related:sukAgbIGNvsJ:scholar.google.com/&scioq=data+sharing+policy+microservice&hl=en&as_sdt=2007"
73,"C Esposito, A Castiglione…","Security and privacy for cloud-based data management in the health network service chain: a microservice approach",2017,"IEEE Communications …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8030494/","https://scholar.google.com/scholar?cites=16579847492523896911&as_sdt=2005&sciodt=2007&hl=en",6,"2025-06-12 13:34:22","","","","",,,,,73,9.13,24,3,8,"… solutions can support collaborative data science platforms and … data management and exchange, and we propose security and privacy requirements together with a novel microservices …","","https://scholar.google.com/scholar?q=related:T7AJXnNzF-YJ:scholar.google.com/&scioq=data+sharing+policy+microservice&hl=en&as_sdt=2007"
15,"Y Liu, B Yang, Y Wu, C Chen…","How to share: Balancing layer and chain sharing in industrial microservice deployment",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9993766/","https://scholar.google.com/scholar?cites=16239769163736255796&as_sdt=2005&sciodt=2007&hl=en",7,"2025-06-12 13:34:22","","","","",,,,,15,5.00,3,5,3,"… sharing is chain sharing [18], [19], which can be defined as the data sharing of microservices … Kubernetes Deployment Strategy [37] (K8S): Kubernetes default deployment policy …","https://arxiv.org/pdf/2212.14183","https://scholar.google.com/scholar?q=related:NI3XLgNAX-EJ:scholar.google.com/&scioq=data+sharing+policy+microservice&hl=en&as_sdt=2007"
4,"S Pallewatta, MA Babar","Towards secure management of edge-cloud IoT microservices using policy as code",2024,"European Conference on Software Architecture","Springer","https://link.springer.com/chapter/10.1007/978-3-031-70797-1_18","https://scholar.google.com/scholar?cites=14172140879785200385&as_sdt=2005&sciodt=2007&hl=en",8,"2025-06-12 13:34:22","","10.1007/978-3-031-70797-1_18","","",,,,,4,4.00,2,2,1,"… various security policies during the management of microservices (ie… the sensitivity of the IoT data. To address the lack of such a … that uses Policy-as-Code to ensure secure microservice …","https://arxiv.org/pdf/2406.18813","https://scholar.google.com/scholar?q=related:AYtj_gqPrcQJ:scholar.google.com/&scioq=data+sharing+policy+microservice&hl=en&as_sdt=2007"
4,"SK Gan, TL Wong, CP Goh, WP Lee…","A Review on the Development of Dataspace Connectors using Microservices Cross-Company Secured Data Exchange",2021,"… Conference on Digital …","tarc.edu.my","https://www.tarc.edu.my/files/icdxa/proceeding_new/2EAC365D-77C2-4321-AE28-862542D2CBEA.pdf","https://scholar.google.com/scholar?cites=1861581452317810063&as_sdt=2005&sciodt=2007&hl=en",9,"2025-06-12 13:34:22","PDF","","","",,,,,4,1.00,1,5,4,"… A reliable security policy and algorithm is able to safeguard the data integrity, authority, and privacy especially in the manufacturing industry where operational and business …","https://www.tarc.edu.my/files/icdxa/proceeding_new/2EAC365D-77C2-4321-AE28-862542D2CBEA.pdf","https://scholar.google.com/scholar?q=related:j93bwXeq1RkJ:scholar.google.com/&scioq=data+sharing+policy+microservice&hl=en&as_sdt=2007"
2,"J Stutterheim, A Mifsud…","DYNAMOS: dynamic microservice composition for data-exchange systems, lessons learned",2024,"2024 IEEE 21st …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10628120/","https://scholar.google.com/scholar?cites=11461037434125589938&as_sdt=2005&sciodt=2007&hl=en",10,"2025-06-12 13:34:22","","","","",,,,,2,2.00,1,3,1,"… data-sharing exchange go as agreed upon in the policies. In DYNAMOS2 we strive to establish a self-adaptive system capable of seamlessly incorporating policy, … -border data sharing. …","","https://scholar.google.com/scholar?q=related:sp2CutLIDZ8J:scholar.google.com/&scioq=data+sharing+policy+microservice&hl=en&as_sdt=2007"
