Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
17,"MJM Chowdhury, A Colman, J Han, MA Kabir","A policy framework for subject-driven data sharing",2018,"","aisel.aisnet.org","https://aisel.aisnet.org/hicss-51/os/information_security/3/","https://scholar.google.com/scholar?cites=7561230193831950371&as_sdt=2005&sciodt=2007&hl=en",1,"2025-06-12 12:52:31","","","","",,,,,17,2.43,4,4,7,"… to share their data, especially in a cross-domain (data custodian) … a data sharing policy language and related framework for a data subject to capture their fine-grained data sharing …","https://figshare.swinburne.edu.au/articles/conference_contribution/A_Policy_Framework_for_Subject-Driven_Data_Sharing/26252114/1/files/47586341.pdf","https://scholar.google.com/scholar?q=related:I7hP2Mzi7mgJ:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
17,"E Higgins, M Taylor, P Lisboa, F Arshad","Developing a data sharing framework: a case study",2014,"… : People, Process and Policy","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/tg-02-2013-0007/full/html","https://scholar.google.com/scholar?cites=12624052223365703309&as_sdt=2005&sciodt=2007&hl=en",2,"2025-06-12 12:52:31","","10.1108/tg-02-2013-0007","","",,,,,17,1.55,4,4,11,"… In this paper we examine the issues associated with the development of a data sharing framework for partnerships between different types of public sector organizations. The research …","https://researchonline.ljmu.ac.uk/id/eprint/190/3/Datashareframev15mainpaperpostrefereedversion.pdf","https://scholar.google.com/scholar?q=related:jWaxr5ykMa8J:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
63,"A Munoz-Arcentales, S López-Pernas, A Pozo, ...","An architecture for providing data usage and access control in data sharing ecosystems",2019,"Procedia Computer …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1877050919317429","https://scholar.google.com/scholar?cites=8196129636069168423&as_sdt=2005&sciodt=2007&hl=en",3,"2025-06-12 12:52:31","","","","",,,,,63,10.50,16,4,6,"… ’ data by third-party entities, easing and ensuring data sharing in … In this article, we present an architecture proposal for … However, the architecture we propose is agnostic of the Policy …","https://www.sciencedirect.com/science/article/pii/S1877050919317429/pdf?md5=57f39bbe5cf337e294e90d663f7b4abf&pid=1-s2.0-S1877050919317429-main.pdf","https://scholar.google.com/scholar?q=related:J1X0onqAvnEJ:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
27,"W Hofman, M Rajagopal","A technical framework for data sharing",2014,"Journal of theoretical and applied …","SciELO Chile","https://www.scielo.cl/scielo.php?pid=S0718-18762014000300005&script=sci_arttext","https://scholar.google.com/scholar?cites=10969838853473645931&as_sdt=2005&sciodt=2007&hl=en",4,"2025-06-12 12:52:31","HTML","","","",,,,,27,2.45,14,2,11,"… Various governments have the policy of providing data sets to the public via open data … implementing open data. This paper analyses required functionality for data sharing considering …","https://www.scielo.cl/scielo.php?pid=S0718-18762014000300005&script=sci_arttext","https://scholar.google.com/scholar?q=related:azWTCFGyPJgJ:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
368,"I Makhdoom, I Zhou, M Abolhasan, J Lipman, W Ni","PrivySharing: A blockchain-based framework for privacy-preserving and secure data sharing in smart cities",2020,"Computers &Security","Elsevier","https://www.sciencedirect.com/science/article/pii/S016740481930197X","https://scholar.google.com/scholar?cites=3202251803915078944&as_sdt=2005&sciodt=2007&hl=en",5,"2025-06-12 12:52:31","","","","",,,,,368,73.60,74,5,5,"… is stored on off-blockchain storage, whereas blockchain smart contracts are used to store the hash of data and data usage policy. Also, there is a specific smart contract between the …","https://opus.lib.uts.edu.au/bitstream/10453/147586/2/Binder3.pdf","https://scholar.google.com/scholar?q=related:IE22pQyvcCwJ:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
67,"P Eckersley, GF Egan, E De Schutter, T Yiyuan, ...","Neuroscience data and tool sharing: a legal and policy framework for neuroinformatics",2003,"Neuroinformatics","Springer","https://link.springer.com/article/10.1007/s12021-003-0002-1","https://scholar.google.com/scholar?cites=13819013121392266468&as_sdt=2005&sciodt=2007&hl=en",6,"2025-06-12 12:52:31","","10.1007/s12021-003-0002-1","","",,,,,67,3.05,13,5,22,"… an obstacle for collaborative data sharing is that of credit for one’s data. Many … data sharing have suggested that the additional expertise of the original researcher with regard to this data …","https://www.academia.edu/download/51421856/Neuroscience_data_and_tool_sharing_a_leg20170119-10364-12pilvl.pdf","https://scholar.google.com/scholar?q=related:5EwMtzf_xr8J:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
20,"C Neylon","Building a culture of data sharing: policy design and implementation for research data management in development research",2017,"Research Ideas and Outcomes","riojournal.com","https://riojournal.com/lib/ajax_srv/article_elements_srv.php?action=download_pdf&item_id=21773","https://scholar.google.com/scholar?cites=6738608664262032611&as_sdt=2005&sciodt=2007&hl=en",7,"2025-06-12 12:52:31","PDF","","","",,,,,20,2.50,20,1,8,"… framework) needs to be coupled to changes in policy (Rules in Use within IAD). IAD and Cultural Science both also emphasise evaluative capacity, linked to changes in outcomes, as …","https://riojournal.com/lib/ajax_srv/article_elements_srv.php?action=download_pdf&item_id=21773","https://scholar.google.com/scholar?q=related:4zy1oeBYhF0J:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
17,"A Rajasekar, R Moore, M Wan, ...","Applying rules as policies for large-scale data sharing",2010,"2010 International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5416072/","https://scholar.google.com/scholar?cites=17140759533473880658&as_sdt=2005&sciodt=2007&hl=en",8,"2025-06-12 12:52:31","","","","",,,,,17,1.13,4,4,15,"… a policy-oriented architecture consisting of a framework of “data management and data … heterogeneous resources that broker Petabytes of data collected in hundreds of millions of …","https://www.academia.edu/download/68786175/isms.2010.6620210817-6266-1pf3af2.pdf","https://scholar.google.com/scholar?q=related:UtoZ5fo14O0J:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
220,"BM Knoppers","Framework for responsible sharing of genomic and health-related data",2014,"The HUGO journal","Springer","https://link.springer.com/article/10.1186/s11568-014-0003-1","https://scholar.google.com/scholar?cites=12255262179365919769&as_sdt=2005&sciodt=2007&hl=en",9,"2025-06-12 12:52:31","HTML","10.1186/s11568-014-0003-1","","",,,,,220,20.00,220,1,11,"… , codes and policies also guide responsible data sharing behavior). This Framework is guided by … In particular, this Framework establishes a set of foundational principles for responsible …","https://link.springer.com/article/10.1186/s11568-014-0003-1","https://scholar.google.com/scholar?q=related:GZxiXgVwE6oJ:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
80,"T Hardjono, DL Shrier, A Pentland","Trusted Data, revised and expanded edition: A New Framework for Identity and Data Sharing",2019,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=KiC4DwAAQBAJ&oi=fnd&pg=PR5&dq=policy+data+sharing+framework%7Carchitecture&ots=NWINzWTCAl&sig=ayGmdoU5M_1bTsj6hpBynOX8ak0","https://scholar.google.com/scholar?cites=9903325795640704977&as_sdt=2005&sciodt=2007&hl=en",10,"2025-06-12 12:52:31","BOOK","","","",,,,,80,13.33,27,3,6,"… It also provides a natural mechanism for developing evidence-based policies and a … science of public policy. In this book, we will describe a data architecture that places humans and …","","https://scholar.google.com/scholar?q=related:0X8gUFeub4kJ:scholar.google.com/&scioq=policy+data+sharing+framework%7Carchitecture&hl=en&as_sdt=2007"
