Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
27,"D Whicher, M Ahmed, S Siddiqui, I Adams…","Health data sharing to support better outcomes",2020,"… , DC: National Academy …","nam.edu","https://nam.edu/wp-content/uploads/2020/11/Health-Data-Sharing-to-Support-Better-Outcomes_prepub-final.pdf","https://scholar.google.com/scholar?cites=16483072883327159114&as_sdt=2005&sciodt=2007&hl=en",1,"2025-06-12 13:36:17","PDF","","","",,,,,27,5.40,5,5,5,"… the nontechnical barriers to data sharing, linkage, and use to improve health care and health … disagreements arise regarding policies or approaches to support data sharing. While some …","https://nam.edu/wp-content/uploads/2020/11/Health-Data-Sharing-to-Support-Better-Outcomes_prepub-final.pdf","https://scholar.google.com/scholar?q=related:SsuW0XSjv-QJ:scholar.google.com/&scioq=data+sharing+policy+healthcare&hl=en&as_sdt=2007"
66,"M Azarm-Daigle, C Kuziemsky, L Peyton","A review of cross organizational healthcare data sharing",2015,"Procedia Computer Science","Elsevier","https://www.sciencedirect.com/science/article/pii/S1877050915024989","https://scholar.google.com/scholar?cites=1174709763973813364&as_sdt=2005&sciodt=2007&hl=en",2,"2025-06-12 13:36:17","","","","",,,,,66,6.60,22,3,10,"… of cross-organizational healthcare data sharing. The review … ICT solutions that healthcare providers and regulators would … around data sharing among authorized healthcare providers, …","https://www.sciencedirect.com/science/article/pii/S1877050915024989/pdf?md5=3a4fc2dfe5fee5c9a0e4f3a077b79cdb&pid=1-s2.0-S1877050915024989-main.pdf","https://scholar.google.com/scholar?q=related:dJTXc05oTRAJ:scholar.google.com/&scioq=data+sharing+policy+healthcare&hl=en&as_sdt=2007"
106,"A Blasimme, M Fadda, M Schneider, E Vayena","Data sharing for precision medicine: policy lessons and future directions",2018,"Health Affairs","healthaffairs.org","https://www.healthaffairs.org/doi/abs/10.1377/hlthaff.2017.1558","https://scholar.google.com/scholar?cites=17595914206157568516&as_sdt=2005&sciodt=2007&hl=en",3,"2025-06-12 13:36:17","","10.1377/hlthaff.2017.1558","","",,,,,106,15.14,27,4,7,"… fragmentation in the policy landscape across specific organizations and data types. … data sharing. To move toward a more efficient data-sharing ecosystem for precision medicine, policy …","https://www.healthaffairs.org/doi/full/10.1377/hlthaff.2017.1558","https://scholar.google.com/scholar?q=related:BHpFTL4-MfQJ:scholar.google.com/&scioq=data+sharing+policy+healthcare&hl=en&as_sdt=2007"
68,"N Waithira, B Mutinda, PY Cheah","Data management and sharing policy: the first step towards promoting data sharing",2019,"BMC medicine","Springer","https://link.springer.com/article/10.1186/s12916-019-1315-8","https://scholar.google.com/scholar?cites=12380507499937023420&as_sdt=2005&sciodt=2007&hl=en",4,"2025-06-12 13:36:17","HTML","10.1186/s12916-019-1315-8","","",,,,,68,11.33,23,3,6,"… encouraging researchers and healthcare professionals to share their data more widely. Our … a prerequisite to data sharing is to have a data management and sharing policy as well as …","https://link.springer.com/article/10.1186/s12916-019-1315-8","https://scholar.google.com/scholar?q=related:vEXO-Pll0KsJ:scholar.google.com/&scioq=data+sharing+policy+healthcare&hl=en&as_sdt=2007"
90,"F Rezaeibagha, Y Mu","Distributed clinical data sharing via dynamic access-control policy transformation",2016,"International journal of medical informatics","Elsevier","https://www.sciencedirect.com/science/article/pii/S1386505616300223","https://scholar.google.com/scholar?cites=6212579443429698909&as_sdt=2005&sciodt=2007&hl=en",5,"2025-06-12 13:36:17","","","","",,,,,90,10.00,45,2,9,"… We propose a useful data sharing system for healthcare providers to handle various EHR users who have various access privileges in different cloud environments. A systematic study …","","https://scholar.google.com/scholar?q=related:XW2FkBaEN1YJ:scholar.google.com/&scioq=data+sharing+policy+healthcare&hl=en&as_sdt=2007"
27,"L Chen, JJ Yang, Q Wang, Y Niu","A framework for privacy-preserving healthcare data sharing",2012,"2012 IEEE 14th international …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6379433/","https://scholar.google.com/scholar?cites=18082698786294843426&as_sdt=2005&sciodt=2007&hl=en",6,"2025-06-12 13:36:17","","","","",,,,,27,2.08,7,4,13,"… and detection, privacy protection policy management, privacy preserving health care data … preserving health care data sharing. First, the typical framework for health care data sharing …","","https://scholar.google.com/scholar?q=related:Ish9ab2m8voJ:scholar.google.com/&scioq=data+sharing+policy+healthcare&hl=en&as_sdt=2007"
22,"JA Kassem, C De Laat, A Taal, P Grosso","The epi framework: A dynamic data sharing framework for healthcare use cases",2020,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9211394/","https://scholar.google.com/scholar?cites=11004000263977236728&as_sdt=2005&sciodt=2007&hl=en",7,"2025-06-12 13:36:17","","","","",,,,,22,4.40,6,4,5,"… We aim to align information flow with the policy ie data sharing rules. The framework defines … In contrast to current healthcare data sharing frameworks, we propose a dynamic …","https://ieeexplore.ieee.org/iel7/6287639/8948470/09211394.pdf","https://scholar.google.com/scholar?q=related:-PiqOvAPtpgJ:scholar.google.com/&scioq=data+sharing+policy+healthcare&hl=en&as_sdt=2007"
60,"ES Dove, M Phillips","Privacy law, data sharing policies, and medical data: a comparative perspective",2015,"Medical data privacy handbook","Springer","https://link.springer.com/chapter/10.1007/978-3-319-23633-9_24","https://scholar.google.com/scholar?cites=17089023999631552930&as_sdt=2005&sciodt=2007&hl=en",8,"2025-06-12 13:36:17","","10.1007/978-3-319-23633-9_24","","",,,,,60,6.00,30,2,10,"… share their medical data, or participate in or trust healthcare … data sharing policies in this section illustrates that several key biomedical research funders explicitly support a data sharing …","https://www.researchgate.net/profile/Edward-Dove/publication/285004331_Privacy_Law_Data_Sharing_Policies_and_Medical_Data_A_Comparative_Perspective/links/5707e9b708ae8883a1f7ef3f/Privacy-Law-Data-Sharing-Policies-and-Medical-Data-A-Comparative-Perspective.pdf","https://scholar.google.com/scholar?q=related:ovEpQMloKO0J:scholar.google.com/&scioq=data+sharing+policy+healthcare&hl=en&as_sdt=2007"
150,"KK Kim, JG Joseph…","Comparison of consumers' views on electronic data sharing for healthcare and research",2015,"Journal of the American …","academic.oup.com","https://academic.oup.com/jamia/article-abstract/22/4/821/1746283","https://scholar.google.com/scholar?cites=10732000325768938674&as_sdt=2005&sciodt=2007&hl=en",9,"2025-06-12 13:36:17","","","","",,,,,150,15.00,50,3,10,"… organizations and stakeholders in order to recommend policies regarding health data privacy, including consent for HIE, and security. In addition, CalOHII supported three …","https://academic.oup.com/jamia/article/22/4/821/1746283","https://scholar.google.com/scholar?q=related:soTVim-575QJ:scholar.google.com/&scioq=data+sharing+policy+healthcare&hl=en&as_sdt=2007"
10,"F Alfonso","Data sharing",2017,"","academic.oup.com","https://academic.oup.com/eurheartj/article-abstract/38/18/1361/3798829","https://scholar.google.com/scholar?cites=16512469418526109740&as_sdt=2005&sciodt=2007&hl=en",10,"2025-06-12 13:36:17","","","","",,,,,10,1.25,10,1,8,"… Advertisement intended for healthcare professionals … Therefore, the ICMJE suggests that editors should also help to meet this ethical obligation by devising new editorial policies …","https://academic.oup.com/eurheartj/article/38/18/1361/3798829","https://scholar.google.com/scholar?q=related:LPC_B3MTKOUJ:scholar.google.com/&scioq=data+sharing+policy+healthcare&hl=en&as_sdt=2007"
41,"LA Moon","Factors influencing health data sharing preferences of consumers: A critical review",2017,"Health policy and technology","Elsevier","https://www.sciencedirect.com/science/article/pii/S2211883717300011","https://scholar.google.com/scholar?cites=15548449688702860641&as_sdt=2005&sciodt=2007&hl=en",11,"2025-06-12 13:36:17","","","","",,,,,41,5.13,41,1,8,"… literature and identify factors influencing consumer data sharing preferences, while presenting a logic model for legal / public policy development that aligns with consumer expectations …","https://www.researchgate.net/profile/Lisa-Moon-3/publication/312925719_Factors_Influencing_Health_Data_Sharing_Preferences_of_Consumers_A_Critical_Review/links/5d367b7492851cd0467e3580/Factors-Influencing-Health-Data-Sharing-Preferences-of-Consumers-A-Critical-Review.pdf","https://scholar.google.com/scholar?q=related:Yb0q15wwx9cJ:scholar.google.com/&scioq=data+sharing+policy+healthcare&hl=en&as_sdt=2007"
