Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
13,"Y Li, CZ Wang, Y Li, J Su","Granularity decision of microservice splitting in view of maintainability and its innovation effect in government data sharing",2020,"Discrete Dynamics in Nature and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1155/2020/1057902","https://scholar.google.com/scholar?cites=7870342265586109352&as_sdt=2005&sciodt=2007&hl=en",1,"2025-06-12 13:11:36","","10.1155/2020/1057902","","",,,,,13,2.60,3,4,5,"… Therefore, government data sharing is a fundamental and key issue for both academic … platform of data sharing and service connection based on the distributed microservice architecture…","https://onlinelibrary.wiley.com/doi/pdf/10.1155/2020/1057902","https://scholar.google.com/scholar?q=related:qMsAeZcSOW0J:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
35,"Y Yang, Q Zu, P Liu, D Ouyang…","MicroShare: Privacy-preserved medical resource sharing through microservice architecture",2018,"International journal of …","pmc.ncbi.nlm.nih.gov","https://pmc.ncbi.nlm.nih.gov/articles/PMC6036760/","https://scholar.google.com/scholar?cites=14653396120666206144&as_sdt=2005&sciodt=2007&hl=en",2,"2025-06-12 13:11:36","HTML","","","",,,,,35,5.00,7,5,7,"… EE to MicroService for scalability and reliability, and 2) extend EHR resource sharing with additional medical data and … As clinical data is frequently updated, our approach enables data …","https://pmc.ncbi.nlm.nih.gov/articles/PMC6036760/","https://scholar.google.com/scholar?q=related:wG9lfSJSW8sJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
0,"M Habib, MA Kabir, L Zheng","LEISA: A Scalable Microservice-based System for Efficient Livestock Data Sharing",2025,"arXiv preprint arXiv:2501.14781","arxiv.org","https://arxiv.org/abs/2501.14781","",3,"2025-06-12 13:11:36","","","","",,,,,0,0.00,0,3,1,"… data sharing architecture [18… of data security and privacy when discussing data sharing, our study is primarily concerned with the mechanisms and processes that facilitate data sharing. …","https://arxiv.org/pdf/2501.14781","https://scholar.google.com/scholar?q=related:fpSBhITUz5UJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
116,"R Laigner, Y Zhou, MAV Salles, Y Liu…","Data management in microservices: State of the practice, challenges, and research directions",2021,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2103.00170","https://scholar.google.com/scholar?cites=18101663116000553394&as_sdt=2005&sciodt=2007&hl=en",4,"2025-06-12 13:11:36","","","","",,,,,116,29.00,23,5,4,"… Another possibility is to use a single tenant for the states of multiple microservices; however, the latter implies complete sharing. For instance, Figure 1(b) depicts the case where Orders …","https://arxiv.org/pdf/2103.00170","https://scholar.google.com/scholar?q=related:sukAgbIGNvsJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
25,"A Smid, R Wang, T Cerny","Case study on data communication in microservice architecture",2019,"Proceedings of the Conference on Research …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3338840.3355659","https://scholar.google.com/scholar?cites=2541336177285429585&as_sdt=2005&sciodt=2007&hl=en",5,"2025-06-12 13:11:36","","10.1145/3338840.3355659","","",,,,,25,4.17,8,3,6,"… Performance increase: The design solution proposed in example 2 is not a pure microservice since the services share a single database. However, the distribution is achieved by …","https://www.researchgate.net/profile/Tom-Cerny/publication/337200845_Case_study_on_data_communication_in_microservice_architecture/links/5ee2960b92851ce9e7dca840/Case-study-on-data-communication-in-microservice-architecture.pdf","https://scholar.google.com/scholar?q=related:UXny5cmjRCMJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
4,"SK Gan, TL Wong, CP Goh, WP Lee…","A Review on the Development of Dataspace Connectors using Microservices Cross-Company Secured Data Exchange",2021,"… Conference on Digital …","tarc.edu.my","https://www.tarc.edu.my/files/icdxa/proceeding_new/2EAC365D-77C2-4321-AE28-862542D2CBEA.pdf","https://scholar.google.com/scholar?cites=1861581452317810063&as_sdt=2005&sciodt=2007&hl=en",6,"2025-06-12 13:11:36","PDF","","","",,,,,4,1.00,1,5,4,"… Therefore, the data exchange architecture that involves the dataspace connectors that … of data with high volume, high velocity and high availability. To handle the data communication, …","https://www.tarc.edu.my/files/icdxa/proceeding_new/2EAC365D-77C2-4321-AE28-862542D2CBEA.pdf","https://scholar.google.com/scholar?q=related:j93bwXeq1RkJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
15,"Y Liu, B Yang, Y Wu, C Chen…","How to share: Balancing layer and chain sharing in industrial microservice deployment",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9993766/","https://scholar.google.com/scholar?cites=16239769163736255796&as_sdt=2005&sciodt=2007&hl=en",7,"2025-06-12 13:11:36","","","","",,,,,15,5.00,3,5,3,"… sharing is chain sharing [18], [19], which can be defined as the data sharing of microservices … of layer sharing and chain sharing through a simple microservice deployment model. As …","https://arxiv.org/pdf/2212.14183","https://scholar.google.com/scholar?q=related:NI3XLgNAX-EJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
15,"K Alanezi, S Mishra","Utilizing microservices architecture for enhanced service sharing in IoT edge environments",2022,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9864183/","https://scholar.google.com/scholar?cites=16638740727902853289&as_sdt=2005&sciodt=2007&hl=en",8,"2025-06-12 13:11:36","","","","",,,,,15,5.00,8,2,3,"… microservices, constructing an IoT application by interconnecting these microservices, and potential sharing of microservices … microservice, we need to work on launching the DataStore …","https://ieeexplore.ieee.org/iel7/6287639/9668973/09864183.pdf","https://scholar.google.com/scholar?q=related:qVh5RImu6OYJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
73,"C Esposito, A Castiglione…","Security and privacy for cloud-based data management in the health network service chain: a microservice approach",2017,"IEEE Communications …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8030494/","https://scholar.google.com/scholar?cites=16579847492523896911&as_sdt=2005&sciodt=2007&hl=en",9,"2025-06-12 13:11:36","","","","",,,,,73,9.13,24,3,8,"… fruition by means of mobile computing and easy sharing of medical data within a country or across borders. In addition, alongside the introduction of cloud computing within healthcare, …","","https://scholar.google.com/scholar?q=related:T7AJXnNzF-YJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
2,"W Li, ZT Li, Z Yan, Y Liu, D Zeng, H Yu, W Chen…","A data encryption and file sharing framework among microservices-based edge nodes with blockchain",2025,"Peer-to-Peer Networking …","Springer","https://link.springer.com/article/10.1007/s12083-024-01856-y","https://scholar.google.com/scholar?cites=11692431899633989170&as_sdt=2005&sciodt=2007&hl=en",10,"2025-06-12 13:11:36","","10.1007/s12083-024-01856-y","","",,,,,2,2.00,0,8,1,"… for data sharing. … data communication between microservices in edge groups and large file transfers between edge nodes in larger groups. The framework demonstrated stable data …","","https://scholar.google.com/scholar?q=related:MjYhEt3cQ6IJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
12,"M Labiadh, C Obrecht, C Ferreira da Silva…","A microservice-based framework for exploring data selection in cross-building knowledge transfer",2021,"… Oriented Computing and …","Springer","https://link.springer.com/article/10.1007/s11761-020-00306-w","https://scholar.google.com/scholar?cites=11969007212561518595&as_sdt=2005&sciodt=2007&hl=en",11,"2025-06-12 13:11:36","","10.1007/s11761-020-00306-w","","",,,,,12,3.00,3,4,4,"… data selection to tackle the domain shift challenge in the context of domain generalization. We also propose a microservice-… Whereas MSA minimizes the need to share components …","https://arxiv.org/pdf/2102.12970","https://scholar.google.com/scholar?q=related:A1DRMqV0GqYJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
6,"W Xiaojun, S Xu, H Zhe…","Research on the construction of resource sharing platform based on microservice",2017,"… Conference on Smart Grid …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8104486/","https://scholar.google.com/scholar?cites=5075292155714645869&as_sdt=2005&sciodt=2007&hl=en",12,"2025-06-12 13:11:36","","","","",,,,,6,0.75,2,4,8,"… ), the Canadian national network to share the learning resource library EduSource project, … data standard, unified resource platform, unified database system, realize data sharing and …","","https://scholar.google.com/scholar?q=related:ba-yWFMPb0YJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
137,"S Roca, J Sancho, J García, Á Alesanco","Microservice chatbot architecture for chronic patient support",2020,"Journal of biomedical informatics","Elsevier","https://www.sciencedirect.com/science/article/pii/S1532046419302242","https://scholar.google.com/scholar?cites=9454653026570960302&as_sdt=2005&sciodt=2007&hl=en",13,"2025-06-12 13:11:36","HTML","","","",,,,,137,27.40,34,4,5,"… In this paper, we introduce a chatbot architecture for chronic patient support grounded on three pillars: scalability by means of microservices, standard data sharing models through HL7 …","https://www.sciencedirect.com/science/article/pii/S1532046419302242","https://scholar.google.com/scholar?q=related:rn1Vs9WsNYMJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
43,"J Innerbichler, S Gonul…","NIMBLE collaborative platform: Microservice architectural approach to federated IoT",2017,"2017 Global Internet …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8016216/","https://scholar.google.com/scholar?cites=224636185573077959&as_sdt=2005&sciodt=2007&hl=en",14,"2025-06-12 13:11:36","","","","",,,,,43,5.38,14,3,8,"… approach utilizes microservice technology, … microservices in practice, we present two scenarios, both related to manufacturing of wooden home buildings: one is IoT-based data sharing …","","https://scholar.google.com/scholar?q=related:xzPIrGsRHgMJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
137,"Y Wang, H Kadiyala, J Rubin","Promises and challenges of microservices: an exploratory study",2021,"Empirical Software Engineering","Springer","https://link.springer.com/article/10.1007/s10664-020-09910-y","https://scholar.google.com/scholar?cites=3289105197518074957&as_sdt=2005&sciodt=2007&hl=en",15,"2025-06-12 13:11:36","","10.1007/s10664-020-09910-y","","",,,,,137,34.25,46,3,4,"… While we cannot share the names of the companies due to confidentiality reasons, we report … can access the appropriate data: P2: «Machine learning has access to user data, so we …","https://people.ece.ubc.ca/~mjulia/publications/Microservices_EMSE_2021.pdf","https://scholar.google.com/scholar?q=related:TbT0LsA_pS0J:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
28,"Z Li, D Seco, AE Sánchez Rodríguez","Microservice-oriented platform for internet of big data analytics: A proof of concept",2019,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/19/5/1134","https://scholar.google.com/scholar?cites=5609056986841583651&as_sdt=2005&sciodt=2007&hl=en",16,"2025-06-12 13:11:36","HTML","","","",,,,,28,4.67,9,3,6,"… This article mainly portrays the proof of concept of the microservice-oriented platform for IoBDA, … IoT-friendly data processing logics and gradually migrating them to the microservices …","https://www.mdpi.com/1424-8220/19/5/1134","https://scholar.google.com/scholar?q=related:I5CdiZxf100J:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
33,"E Ntentos, U Zdun, K Plakidas, D Schall, F Li…","Supporting architectural decision making on data management in microservice architectures",2019,"… Conference, ECSA 2019 …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-29983-5_2","https://scholar.google.com/scholar?cites=5436052772726716331&as_sdt=2005&sciodt=2007&hl=en",17,"2025-06-12 13:11:36","","10.1007/978-3-030-29983-5_2","","",,,,,33,5.50,6,6,6,"… Section 4 describes our reusable ADD model on microservice data management. … Data sharing must be considered for each data object that is shared between at least two microservices…","https://eprints.cs.univie.ac.at/6071/7/paper.pdf","https://scholar.google.com/scholar?q=related:qzenAjK9cEsJ:scholar.google.com/&scioq=data+sharing+microservice&hl=en&as_sdt=2007"
