Authors,Title,Year,Source
MA Cyran,Blockchain as a foundation for sharing healthcare data,2018,Blockchain in Healthcare Today
T Hulsen,Sharing is caring—data sharing initiatives in healthcare,2020,International journal of environmental research and …
"B Fabian, T Ermakova, P Junghanns",Collaborative and secure sharing of healthcare data in multi-clouds,2015,Information Systems
"MM Hassan, K Lin, X Yue, J Wan",A multimedia healthcare data sharing approach through cloud-based body area network,2017,Future Generation Computer Systems
JR Popovic,Distributed data networks: a blueprint for Big Data sharing and healthcare analytics,2017,Annals of the New York Academy of Sciences
"H Qiu, M Qiu, M Liu, G Memmi",Secure health data sharing for medical cyber-physical systems for the healthcare 4.0,2020,IEEE journal of biomedical and …
"LB Elvas, JC Ferreira, MS Dias, LB Rosário",Health data sharing towards knowledge creation,2023,Systems
"B Shen, J Guo, Y Yang",MedChain: Efficient healthcare data sharing via blockchain,2019,Applied sciences
"DC Nguyen, PN Pathirana, M Ding…",A cooperative architecture of data offloading and sharing for smart healthcare with blockchain,2021,… on Blockchain and …
"H Jin, Y Luo, P Li, J Mathew",A review of secure and privacy-preserving medical data sharing,2019,IEEE access
"DJ Baldock, VG Svinenko, KE Marshall…",Electronic health record sharing using hybrid architecture,2014,US Patent …
"MT Britto, SC Fuller, HC Kaplan, U Kotagal…",Using a network organisational architecture to support the development of Learning Healthcare Systems,2018,BMJ quality & …
"M Azarm-Daigle, C Kuziemsky, L Peyton",A review of cross organizational healthcare data sharing,2015,Procedia Computer Science
"F Carvalho, M Maximiano, R Gomes, V Távora…",Architecture for Health Private Data Sharing using Blockchain,2025,Procedia Computer …
"RU Haque, ASMT Hasan, A Daria, A Rasool…",A novel secure and distributed architecture for privacy-preserving healthcare system,2023,Journal of Network and …
EFG Pinto,Architecture framework to foster clinical data sharing,2013,Health
"X Liang, J Zhao, S Shetty, J Liu…",Integrating blockchain for data sharing and collaboration in mobile healthcare applications,2017,2017 IEEE 28th annual …
"A Roehrs, CA Da Costa, R da Rosa Righi",OmniPHR: A distributed architecture model to integrate personal health records,2017,Journal of biomedical …
"AN Gohar, SA Abdelmawgoud, MS Farhan","A patient-centric healthcare framework reference architecture for better semantic interoperability based on blockchain, cloud, and IoT",2022,IEEE access
"KD Mandl, IS Kohane, D McFadden…",Scalable collaborative infrastructure for a learning healthcare system (SCILHS): architecture,2014,Journal of the …
"N El Aboudi, L Benhlima","Big data management for healthcare systems: architecture, requirements, and implementation",2018,Advances in bioinformatics
CJ van Toledo,A data sharing system architecture for scientific purposes for a Dutch health care environment,2017,
"C Catley, M Frize",Design of a health care architecture for medical data interoperability and application integration,2002,Proceedings of the Second Joint 24th …
"R Kumar, P Kumar, R Tripathi, GP Gupta…",Permissioned blockchain and deep learning for secure and efficient data sharing in industrial healthcare systems,2022,IEEE Transactions …
"KK Azumah, LT Sørensen, R Tadayoni",Hybrid Cloud for Healthcare Data Sharing and Mobile Access: An Architectural Overview,2018,Nordic and Baltic Journal of …
"AG de Moraes Rossetto, C Sega, VRQ Leithardt",An architecture for managing data privacy in healthcare with blockchain,2022,Sensors
"S Amofa, EB Sifah, OB Kwame, S Abla…",A blockchain-based architecture framework for secure sharing of personal health data,2018,2018 IEEE 20th …
"E Adel, S El-Sappagh, S Barakat, KS Kwak…",Semantic architecture for interoperability in distributed healthcare systems,2022,IEEE …
MW Bridges,… in healthcare: sharing system resources while enhancing interoperability within and between healthcare organizations with service-oriented architecture.,2007,Health Management Technology
"M Kumar, H Raj, N Chaurasia, SS Gill",Blockchain inspired secure and reliable data exchange architecture for cyber-physical healthcare system 4.0,2023,Internet of Things and Cyber …
"RD Thantilage, NA Le-Khac, MT Kechadi",Healthcare data security and privacy in Data Warehouse architectures,2023,Informatics in Medicine …
VL Dibbets,Designing a Regional Medical Dataspace: An Architecture for Healthcare Data Sharing in the Twente Region,2024,
"D Robertson, F Giunchiglia, S Pavis…",Healthcare data safe havens: towards a logical architecture and experiment automation,2016,The Journal of …
"A Sebaa, F Chikh, A Nouicer, AK Tari","Medical big data warehouse: architecture and system design, a case study: improving healthcare resources distribution",2018,Journal of medical systems
"R Wadhwa, A Mehra, P Singh…",A pub/sub based architecture to support public healthcare data exchange,2015,2015 7th International …
"M Kumar, J Mostafa…",Federated health information architecture: enabling healthcare providers and policymakers to use data for decision-making,2018,Health Information …
"CVNUB Murthy, ML Shri",Secure Sharing Architecture of Personal Healthcare Data Using Private Permissioned Blockchain for Telemedicine,2024,IEEE Access
"K Osei-Tutu, S Hasavari…",Blockchain-based enterprise architecture for comprehensive healthcare information exchange (hie) data management,2020,… on Computational Science …
