Authors,Title,Year,Source,Inclusion Decision,Reason
MA Cyran,Blockchain as a foundation for sharing healthcare data,2018,Blockchain in Healthcare Today,No,Excluded (E2): Technical system implementation without policy modeling
T Hulsen,Sharing is caring—data sharing initiatives in healthcare,2020,International journal of environmental research and …,No,Excluded (E3): Out of scope for policy modeling or code generation
"B Fabian, T Ermakova, P Junghanns",Collaborative and secure sharing of healthcare data in multi-clouds,2015,Information Systems,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"MM Hassan, K Lin, X Yue, J Wan",A multimedia healthcare data sharing approach through cloud-based body area network,2017,Future Generation Computer Systems,No,Excluded (E3): Out of scope for policy modeling or code generation
JR Popovic,Distributed data networks: a blueprint for Big Data sharing and healthcare analytics,2017,Annals of the New York Academy of Sciences,No,Excluded (E3): Out of scope for policy modeling or code generation
"H Qiu, M Qiu, M Liu, G Memmi",Secure health data sharing for medical cyber-physical systems for the healthcare 4.0,2020,IEEE journal of biomedical and …,No,Excluded (E3): Out of scope for policy modeling or code generation
"LB Elvas, JC Ferreira, MS Dias, LB Rosário",Health data sharing towards knowledge creation,2023,Systems,No,Excluded (E3): Out of scope for policy modeling or code generation
"B Shen, J Guo, Y Yang",MedChain: Efficient healthcare data sharing via blockchain,2019,Applied sciences,No,Excluded (E2): Technical system implementation without policy modeling
"DC Nguyen, PN Pathirana, M Ding…",A cooperative architecture of data offloading and sharing for smart healthcare with blockchain,2021,… on Blockchain and …,No,Excluded (E2): Technical system implementation without policy modeling
"H Jin, Y Luo, P Li, J Mathew",A review of secure and privacy-preserving medical data sharing,2019,IEEE access,No,Excluded (E3): Out of scope for policy modeling or code generation
"DJ Baldock, VG Svinenko, KE Marshall…",Electronic health record sharing using hybrid architecture,2014,US Patent …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
"MT Britto, SC Fuller, HC Kaplan, U Kotagal…",Using a network organisational architecture to support the development of Learning Healthcare Systems,2018,BMJ quality & …,No,Excluded (E3): Unrelated to policy modeling or microservice/code generation
